entity_a,label_a,entity_b,label_b,count,freq_a,freq_b,jaccard,pmi
lebanon,INTL_ACTORS,trump,INTL_ACTORS,4,61,286,0.0117,0.4955
gaza,PAL_RESISTANCE,militants,PAL_RESISTANCE,4,1020,22,0.0039,0.1324
palestine,PAL_POLITICAL,saudi arabia,INTL_ACTORS,4,535,31,0.0071,0.5685
hamas,PAL_ORG,hezbollah,INTL_ACTORS,4,256,26,0.0144,1.8857
hamas,PAL_ORG,syria,INTL_ACTORS,4,256,52,0.0132,0.8857
gaza,PAL_RESISTANCE,saudi arabia,INTL_ACTORS,4,1020,31,0.0038,-0.3624
netanyahu,ISR_POLITICAL,qatar,INTL_ACTORS,4,235,32,0.0152,1.7096
gaza,PAL_RESISTANCE,knesset,ISR_POLITICAL,3,1020,11,0.0029,0.7173
idf,ISR_MILITARY,netanyahu,ISR_POLITICAL,3,40,235,0.011,0.9727
idf,ISR_MILITARY,lebanon,INTL_ACTORS,3,40,61,0.0306,2.9184
militants,PAL_RESISTANCE,usa,INTL_ACTORS,3,22,1041,0.0028,-0.3121
militants,PAL_RESISTANCE,palestine,PAL_POLITICAL,3,22,535,0.0054,0.6483
abbas,PAL_POLITICAL,pa,PAL_POLITICAL,3,6,3001,0.001,0.0349
syria,INTL_ACTORS,turkey,INTL_ACTORS,3,52,38,0.0345,3.2227
biden,INTL_ACTORS,israel,ISR_POLITICAL,3,4,1626,0.0018,1.504
biden,INTL_ACTORS,pa,PAL_POLITICAL,3,4,3001,0.001,0.6199
hostages,CIVILIANS,qatar,INTL_ACTORS,3,16,32,0.0667,5.1711
civilians,CIVILIANS,netanyahu,ISR_POLITICAL,3,35,235,0.0112,1.1653
knesset,ISR_POLITICAL,palestine,PAL_POLITICAL,3,11,535,0.0055,1.6483
netanyahu,ISR_POLITICAL,settlers,SETTLERS,3,235,44,0.0109,0.8352
